#aciso=M;src: LT;
abscisão [pl. abscisões]=F;src: LT;
absconso=M;src: LT;
abscôndito=M;src: LT;
abscônsia=F;src: LT;
absecto=M;src: LT;
absemelhança=F;src: LT;
absenteísmo=M;src: LT;
absenteísta=MF;src: LT;
absentismo=M;src: LT;
absentista=MF;src: LT;
abside=F;src: LT;
absidíola=F;src: LT;
absidíolo=M;src: LT;
absintato=M;src: LT;
absintiato=M;src: LT;
absintina=F;src: LT;
absintiol=M;src: LT;
absintismo=M;src: LT;
absintita=M;src: LT;
absinto=M;src: LT;
absintol=M;src: LT;
absintoso=M;src: LT;
absogro=M;src: LT;
absolutismo=M;src: LT;
absolutista=MF;src: LT;
absolutizante=MF;src: LT;
absoluto=M;src: LT;
absolução [pl. absoluções]=F;src: LT;
absolvedor=M;src: LT;
absolvimento=M;src: LT;
absolvição [pl. absolvições]=F;src: LT;
absonância=F;src: LT;
absorbimento=M;src: LT;
absorbência=F;src: LT;
absorciometria=F;src: LT;
absorcionismo=M;src: LT;
absorcionista=MF;src: LT;
absorciómetro=M;src: LT;
absorciômetro=M;src: LT;
absortividade=F;src: LT;
absorvedor=M;src: LT;
absorvedouro=M;src: LT;
absorvente=MF;src: LT;
absorvibilidade=F;src: LT;
absorvidade=F;src: LT;
absorvimento=M;src: LT;
absorvo=M;src: LT;
absorvência=F;src: LT;
absorção [pl. absorções]=F;src: LT;
abstemia=F;src: LT;
abstencionismo=M;src: LT;
abstencionista=MF;src: LT;
abstenção [pl. abstenções]=F;src: LT;
abstergente=M;src: LT;
abstergência=F;src: LT;
absterrâneo=M;src: LT;
abstersivo=M;src: LT;
abstersão [pl. abstersões]=F;src: LT;
abstinente=MF;src: LT;
abstinência=F;src: LT;
abstracionismo=M;src: LT;
abstracionista=MF;src: LT;
abstract [pl. abstracts]=M;src: English;
abstraidor=M;src: LT;
abstraimento=M;src: LT;
abstrata=F;src: LT;
abstratismo=M;src: LT;
abstrativismo=M;src: LT;
abstrato=M;src: LT;
abstrator=M;src: LT;
abstração [pl. abstrações]=F;src: LT;
abstrusidade=F;src: LT;
abstrusão [pl. abstrusões]=F;src: LT;
abstémio abstémia=MF;src: LT;
abstêmio=M;src: LT;
absunção [pl. absunções]=F;src: LT;
absurdez=F;src: LT;
absurdeza=F;src: LT;
